,NAICS,Industry,2019 Jobs,2023 Jobs,2019-2023 Change,2019-2023 % Change,2019 Location Quotient,2023 Location Quotient,2019-2023 LQ Change
0,51,Information,30385,31146,31146,2.5,0.9,0.8,-0.1
1,71,"Arts, Entertainment, and Recreation",56872,53662,53662,-5.6,1.2,1.2,-0.1
2,72,Accommodation and Food Services,183576,182210,182210,-0.7,1.2,1.1,-0.0
