,NAICS,Industry,2019 Jobs,2023 Jobs,2019-2023 Change,2019-2023 % Change,2019 Location Quotient,2023 Location Quotient,2019-2023 LQ Change
0,48,Transportation and Warehousing,63862,76523,76523,19.8,0.5,0.5,-0.0
1,71,"Arts, Entertainment, and Recreation",56872,53662,53662,-5.6,1.2,1.2,-0.1
2,90,Government,335797,340217,340217,1.3,1.3,1.3,0.0
