,area,year,firms,employment,population,per_capita_firms,state_firms,state_employment,state_population,state_per_capita_firms,natl_firms,natl_employment,natl_population,natl_per_capita_firms,last_update
0,06073,2022,68078,1412457,3276208,0.020779510946801912,718043,15551816,39029341,0.0183975179083859,5741614,133689031,333287557,0.01722720779521931,2024-11-16
1,06073,2021,65178,1326174,3274954,0.019901958928278077,684874,14487441,39142990,0.017496721635214887,5602901,127132349,332031554,0.016874604032362538,2024-11-16
2,06073,2020,64796,1383113,3296045,0.019658712183844577,686171,15368325,39501653,0.017370690791091704,5543341,132737246,331511512,0.016721413282323662,2024-11-16
3,06073,2019,63487,1389620,3330458,0.01906254334989362,673146,15301989,39437610,0.017068630680206028,5534669,131880286,328329953,0.016857033448909854,2024-11-16
4,06073,2018,62384,1358911,3332482,0.018719981083168642,662246,14992215,39437462,0.016792307780860747,5482575,129685273,326838199,0.01677458453991787,2024-11-16
5,06073,2017,61321,1327180,3319018,0.0184756455071952,653357,14660078,39337785,0.016608891425889893,5447558,127480852,325122128,0.01675542059690259,2024-11-16
